timestamp,open,high,low,close,volume
2020-04-02,9.0000,9.0000,9.0000,9.0000,16600
2020-04-01,9.0200,9.3000,9.0000,9.0200,19100
2020-03-31,9.3000,9.3000,9.3000,9.3000,3600
2020-03-30,8.8400,9.3000,8.8000,8.8400,7400
2020-03-27,9.0600,9.3000,8.2400,9.0600,4800
2020-03-26,9.0400,9.3000,8.9800,9.0400,6100
2020-03-25,9.0200,9.3200,8.5000,9.0200,7700
2020-03-24,9.3200,9.4000,8.9000,9.3200,3500
2020-03-23,9.3400,9.8000,9.0000,9.3400,2300
2020-03-20,9.8000,9.9000,9.0000,9.8000,3600
2020-03-19,9.9000,9.9000,9.9000,9.9000,200
2020-03-18,9.2800,9.8000,9.0000,9.2800,4200
2020-03-17,9.1800,9.7000,9.0000,9.1800,4800
2020-03-16,9.1400,9.8000,8.9200,9.1400,8300
2020-03-13,9.9000,10.0000,9.8000,9.9000,4000
2020-03-12,10.0000,10.4500,10.0000,10.0000,8500
2020-03-11,10.6000,10.6000,10.6000,10.6000,100
2020-03-10,10.4500,10.5000,10.1000,10.4500,4900
2020-03-09,10.6000,10.7500,10.4500,10.6000,5200
2020-03-06,10.6000,10.8000,10.4500,10.6000,11700
2020-03-05,10.6000,10.8000,10.4500,10.6000,11700
2020-03-04,10.6500,11.1000,10.5000,10.6500,900
2020-03-03,10.6000,11.0000,10.1000,10.6000,11100
2020-03-02,10.1000,10.6500,9.9000,10.1000,20700
2020-02-28,10.1000,10.6500,9.9000,10.1000,20700
2020-02-27,10.7000,10.8000,10.7000,10.7000,28100
2020-02-26,10.7000,10.7000,10.7000,10.7000,9900
2020-02-25,10.7000,10.7000,10.7000,10.7000,2000
2020-02-24,10.9500,11.1000,10.7000,10.9500,13400
2020-02-21,10.9500,11.0000,10.9000,10.9500,1500
2020-02-20,10.7500,10.8000,10.7000,10.7500,7900
2020-02-19,10.8000,11.0000,10.7000,10.8000,52300
2020-02-18,11.0000,11.0000,10.8500,11.0000,22900
2020-02-14,10.9500,11.0000,10.9000,10.9500,15400
2020-02-13,10.9000,11.1000,10.9000,10.9000,45600
2020-02-12,11.4000,11.4000,10.9000,11.4000,234100
2020-02-11,11.1500,11.1500,11.1500,11.1500,0
2020-02-10,11.1500,11.4000,10.7000,11.1500,5300
2020-02-07,11.4000,11.4000,11.0000,11.4000,782800
2020-02-06,11.0500,11.4000,10.7000,11.0500,4500
2020-02-05,11.4000,11.4000,10.7000,11.4000,685500
2020-02-04,10.9500,11.0000,10.7000,10.9500,3600
2020-02-03,11.0500,11.3500,11.0000,11.0500,4000
2020-01-31,11.0000,11.4500,11.0000,11.0000,8800
2020-01-30,11.0500,11.1000,11.0000,11.0500,3400
2020-01-29,11.1000,11.3500,11.0000,11.1000,8900
2020-01-28,11.7500,11.8500,11.5000,11.7500,1300
2020-01-27,11.3500,11.8500,11.0000,11.3500,4700
2020-01-24,11.5000,11.5000,11.5000,11.5000,22300
2020-01-23,11.8500,11.9000,11.8000,11.8500,18300
